name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,SNR,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,p_astro_BBH,p_astro_BNS,p_astro_NSBH,pipeline
GW190513_205428,36.0,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210.0,-810.0,990.0,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,0.4,-0.13,0.14,1.3e-05,0.99998,0.99998,0.,0.,
GW190514_065416,40.9,-9.3,17.3,28.4,-10.1,10.0,8.0,-0.6,0.3,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,0.64,-0.3,0.33,2.8,0.76021,0.76021,0.,0.,
GW190517_055101,39.2,-9.2,13.9,24.0,-7.9,7.4,10.8,-0.6,0.5,1790.0,-880.0,1750.0,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4.0,0.33,-0.15,0.26,0.00035,1.0,1.0,0.,0.,
GW190519_153544,65.1,-11.0,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600.0,-960.0,1720.0,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,0.45,-0.15,0.24,1.0e-05,1.0,1.0,0.,0.,
GW190521,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310.0,-1800.0,2790.0,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,0.56,-0.27,0.36,0.0013,0.99989,0.99989,0.,0.,
GW190521_074359,43.4,-5.5,5.8,33.4,-6.8,5.2,25.9,-0.2,0.1,1080.0,-530.0,580.0,0.1,-0.13,0.13,76.3,-5.9,7.0,32.8,-2.8,3.2,0.21,-0.1,0.1,1.0e-05,1.0,1.0,0.,0.,
GW190527_092055,35.6,-8.0,18.7,22.2,-8.7,9.0,8.0,-0.9,0.4,2520.0,-1230.0,2080.0,0.1,-0.22,0.22,58.1,-8.8,18.1,23.9,-3.9,6.8,0.44,-0.19,0.29,0.23,0.84784,0.84784,0.,0.,
GW190602_175927,71.8,-14.6,18.1,44.8,-19.6,15.5,13.2,-0.3,0.2,2840.0,-1280.0,1930.0,0.12,-0.28,0.25,115.6,-14.8,19.2,48.0,-9.7,9.5,0.49,-0.2,0.26,1.0e-05,1.0,1.0,0.,0.,
GW190620_030421,58.0,-13.3,19.2,35.0,-14.5,13.1,12.1,-0.4,0.3,2910.0,-1320.0,1710.0,0.34,-0.29,0.22,92.7,-13.2,18.5,38.1,-7.2,8.5,0.5,-0.2,0.23,0.011,0.98748,0.98748,0.,0.,
GW190630_185205,35.1,-5.5,6.5,24.0,-5.2,5.5,16.4,-0.3,0.2,870.0,-360.0,530.0,0.1,-0.13,0.14,59.4,-4.8,4.7,25.1,-2.1,2.2,0.18,-0.07,0.09,1.0e-05,1.0,1.0,0.,0.,
GW190701_203306,54.1,-8.0,12.6,40.5,-12.1,8.7,11.2,-0.4,0.2,2090.0,-740.0,770.0,-0.08,-0.31,0.23,94.3,-9.5,12.0,40.2,-5.0,5.4,0.38,-0.12,0.11,0.0057,0.99986,0.99986,0.,0.,
GW190706_222641,74.0,-16.9,20.1,39.4,-15.4,18.4,13.4,-0.4,0.2,3630.0,-2000.0,2600.0,0.28,-0.31,0.25,112.6,-16.8,27.4,45.6,-9.1,13.0,0.6,-0.29,0.33,5.0e-05,1.0,1.0,0.,0.,
GW190707_093326,12.1,-2.0,2.6,7.9,-1.3,1.6,13.1,-0.4,0.2,850.0,-400.0,340.0,-0.04,-0.09,0.1,20.1,-1.2,1.7,8.4,-0.4,0.6,0.17,-0.08,0.06,1.0e-05,1.0,0.93,0.,0.07,PyCBC
GW190708_232457,19.8,-4.3,4.3,11.6,-2.0,3.1,13.4,-0.3,0.2,930.0,-390.0,310.0,0.05,-0.1,0.1,31.4,-2.2,2.8,13.1,-0.6,0.9,0.19,-0.07,0.06,0.00031,0.99965,0.99965,0.,0.,
GW190719_215514,36.6,-11.1,42.1,19.9,-9.3,10.0,7.9,-0.7,0.3,3730.0,-2070.0,3120.0,0.25,-0.32,0.33,57.2,-11.6,38.4,22.8,-4.3,8.3,0.61,-0.3,0.39,0.63,0.91976,0.91976,0.,0.,
GW190720_000836,14.2,-3.3,5.6,7.5,-1.8,2.2,10.9,-0.8,0.3,770.0,-260.0,650.0,0.19,-0.11,0.14,21.8,-2.0,3.8,9.0,-0.8,0.4,0.16,-0.05,0.11,1.0e-05,1.0,0.95,0.,0.05,PyCBC
GW190725_174728,11.8,-3.0,10.1,6.3,-2.5,2.1,9.1,-0.7,0.4,1030.0,-430.0,520.0,-0.04,-0.16,0.36,18.3,-1.9,7.4,7.4,-0.5,0.5,0.2,-0.08,0.09,0.46,0.96,0.79,0.,0.17,PyCBC
GW190727_060333,38.9,-6.0,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070.0,-1230.0,1300.0,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,0.52,-0.18,0.18,1.0e-05,1.0,1.0,0.,0.,
GW190728_064510,12.5,-2.3,6.9,8.0,-2.6,1.7,13.1,-0.4,0.3,880.0,-380.0,260.0,0.13,-0.07,0.19,20.7,-1.4,4.2,8.6,-0.3,0.6,0.18,-0.07,0.05,1.0e-05,1.0,0.97,0.,0.03,PyCBC
GW190731_140936,41.8,-9.1,12.7,29.0,-9.9,10.2,8.8,-0.4,0.3,3330.0,-1770.0,2350.0,0.07,-0.25,0.28,70.7,-11.4,16.3,29.7,-5.3,7.4,0.56,-0.26,0.31,0.33,0.83427,0.83427,0.,0.,
GW190803_022701,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190.0,-1470.0,1630.0,-0.01,-0.28,0.23,65.0,-8.1,12.0,27.6,-3.8,5.4,0.54,-0.22,0.22,0.073,0.97383,0.97383,0.,0.,
