z	mrd_sf	mrd_df	mr_df
2.2700 	 274.7377 	 84.0177 	 44540.3724 
2.2900 	 275.3069 	 83.6799 	 44384.2452 
2.3100 	 276.9542 	 83.6720 	 44399.5862 
2.3300 	 277.0603 	 83.2013 	 44166.0271 
2.3500 	 278.4879 	 83.1307 	 44141.5865 
2.3700 	 279.1462 	 82.8327 	 43993.2466 
2.3900 	 279.6219 	 82.4843 	 43815.1353 
2.4100 	 280.1767 	 82.1633 	 43648.5861 
2.4300 	 281.5598 	 82.0874 	 43609.4896 
2.4500 	 281.1969 	 81.5063 	 43299.2985 
2.4700 	 282.0395 	 81.2794 	 43174.6260 
2.4900 	 282.6653 	 80.9929 	 43015.8115 
2.5100 	 283.0632 	 80.6448 	 42821.8615 
2.5300 	 283.6251 	 80.3470 	 42652.3578 
2.5500 	 283.5549 	 79.8746 	 42387.9387 
2.5700 	 283.8680 	 79.5148 	 42181.2097 
2.5900 	 284.2602 	 79.1811 	 41986.2938 
2.6100 	 284.3202 	 78.7591 	 41742.6238 
2.6300 	 284.6879 	 78.4264 	 41544.5208 
2.6500 	 284.9342 	 78.0642 	 41328.9758 
2.6700 	 284.7574 	 77.5906 	 41052.8755 
2.6900 	 285.0347 	 77.2452 	 40843.0399 
2.7100 	 284.8258 	 76.7724 	 40564.4034 
2.7300 	 285.1356 	 76.4439 	 40360.5400 
2.7500 	 285.0136 	 76.0036 	 40096.3887 
2.7700 	 284.8978 	 75.5697 	 39834.3487 
2.7900 	 285.2413 	 75.2615 	 39637.4009 
2.8100 	 285.2320 	 74.8640 	 39392.2421 
2.8300 	 284.6339 	 74.3170 	 39067.4031 
2.8500 	 284.6327 	 73.9306 	 38826.1321 
2.8700 	 284.3958 	 73.4873 	 38554.0806 
2.8900 	 284.5027 	 73.1369 	 38329.9362 
2.9100 	 284.4958 	 72.7611 	 38091.5834 
2.9300 	 284.1025 	 72.2907 	 37803.0550 
2.9500 	 284.1276 	 71.9310 	 37571.7275 
2.9700 	 283.8084 	 71.4883 	 37296.3893 
2.9900 	 283.7443 	 71.1139 	 37056.1476 
3.0100 	 283.3116 	 70.6513 	 36769.4501 
3.0300 	 283.0792 	 70.2430 	 36510.5846 
3.0500 	 283.4134 	 69.9786 	 36326.0235 
3.0700 	 282.8805 	 69.5038 	 36031.8007 
3.0900 	 282.5457 	 69.0821 	 35764.8084 
3.1100 	 282.0879 	 68.6345 	 35484.2256 
3.1300 	 281.9267 	 68.2631 	 35242.7602 
3.1500 	 281.6045 	 67.8565 	 34982.8918 
3.1700 	 281.4266 	 67.4884 	 34742.6773 
3.1900 	 280.7899 	 67.0143 	 34447.8126 
3.2100 	 281.0433 	 66.7561 	 34263.7963 
3.2300 	 280.5428 	 66.3222 	 33989.4002 
3.2500 	 279.9468 	 65.8698 	 33705.6315 
3.2700 	 279.7741 	 65.5209 	 33474.7586 
3.2900 	 279.5525 	 65.1637 	 33239.6943 
3.3100 	 278.8313 	 64.6940 	 32947.2908 
3.3300 	 278.9129 	 64.4141 	 32751.5699 
3.3500 	 278.4324 	 64.0074 	 32491.4969 
3.3700 	 277.9165 	 63.5964 	 32229.3680 
3.3900 	 277.4061 	 63.1905 	 31969.9795 
3.4100 	 277.3437 	 62.8897 	 31763.9845 
3.4300 	 276.8723 	 62.4994 	 31512.8657 
3.4500 	 276.2953 	 62.0888 	 31251.8186 
3.4700 	 276.3654 	 61.8267 	 31065.6663 
3.4900 	 275.6101 	 61.3831 	 30788.5387 
3.5100 	 275.3369 	 61.0503 	 30567.3128 
3.5300 	 274.7653 	 60.6546 	 30314.8728 
3.5500 	 274.4534 	 60.3194 	 30093.0055 
3.5700 	 274.0497 	 59.9671 	 29862.8670 
3.5900 	 273.6171 	 59.6116 	 29631.4590 
3.6100 	 273.1198 	 59.2451 	 29394.9606 
3.6300 	 272.7242 	 58.9037 	 29171.3019 
3.6500 	 272.3317 	 58.5659 	 28949.7776 
3.6700 	 271.9231 	 58.2276 	 28728.3539 
3.6900 	 271.6007 	 57.9106 	 28517.7845 
3.7100 	 271.0388 	 57.5454 	 28283.9119 
3.7300 	 270.5207 	 57.1925 	 28056.5606 
3.7500 	 270.4008 	 56.9265 	 27872.1563 
3.7700 	 269.9231 	 56.5876 	 27652.5020 
3.7900 	 269.3503 	 56.2318 	 27425.0011 
3.8100 	 268.7697 	 55.8773 	 27198.6526 
3.8300 	 268.6895 	 55.6293 	 27024.5656 
3.8500 	 268.2309 	 55.3053 	 26813.9627 
3.8700 	 267.4088 	 54.9094 	 26569.0089 
3.8900 	 267.4607 	 54.6954 	 26412.5459 
3.9100 	 266.8574 	 54.3498 	 26192.8990 
3.9300 	 266.1939 	 53.9947 	 25969.2813 
3.9500 	 265.9294 	 53.7231 	 25786.3045 
3.9700 	 265.4958 	 53.4197 	 25588.5032 
3.9900 	 264.8115 	 53.0684 	 25368.3307 
4.0100 	 264.3668 	 52.7678 	 25172.9106 
4.0300 	 264.0726 	 52.4995 	 24993.3827 
4.0500 	 263.3884 	 52.1561 	 24778.6239 
4.0700 	 263.1919 	 51.9116 	 24611.3464 
4.0900 	 262.3149 	 51.5353 	 24382.1553 
4.1100 	 261.9489 	 51.2620 	 24202.2391 
4.1300 	 261.4812 	 50.9710 	 24014.4772 
4.1500 	 260.9970 	 50.6790 	 23826.8041 
4.1700 	 260.7670 	 50.4385 	 23663.7850 
4.1900 	 259.9104 	 50.0791 	 23445.5593 
4.2100 	 259.4035 	 49.7895 	 23260.6568 
4.2300 	 258.9102 	 49.5048 	 23078.5440 
4.2500 	 258.5728 	 49.2520 	 22911.7932 
4.2700 	 257.9486 	 48.9466 	 22721.1607 
4.2900 	 257.8243 	 48.7380 	 22575.9554 
4.3100 	 256.9852 	 48.3965 	 22369.6716 
4.3300 	 256.6702 	 48.1558 	 22210.5903 
4.3500 	 255.9657 	 47.8441 	 22019.3000 
4.3700 	 255.5384 	 47.5863 	 21853.4141 
4.3900 	 254.8050 	 47.2737 	 21662.8915 
4.4100 	 254.2826 	 47.0023 	 21491.8910 
4.4300 	 253.7162 	 46.7249 	 21318.6607 
4.4500 	 253.4941 	 46.5127 	 21175.6771 
4.4700 	 252.9032 	 46.2346 	 21003.2202 
4.4900 	 252.1273 	 45.9248 	 20816.9761 
4.5100 	 251.5940 	 45.6613 	 20652.2993 
4.5300 	 251.4267 	 45.4659 	 20518.9025 
4.5500 	 250.8098 	 45.1909 	 20350.0767 
4.5700 	 250.2103 	 44.9211 	 20184.1243 
4.5900 	 249.5776 	 44.6472 	 20016.9409 
4.6100 	 249.4372 	 44.4630 	 19890.4648 
4.6300 	 248.7983 	 44.1915 	 19725.4538 
4.6500 	 248.0743 	 43.9070 	 19555.1623 
4.6700 	 247.2438 	 43.6056 	 19378.0257 
4.6900 	 246.9804 	 43.4061 	 19246.6620 
4.7100 	 246.5466 	 43.1780 	 19103.1486 
4.7300 	 246.1967 	 42.9663 	 18967.2984 
4.7500 	 245.2150 	 42.6461 	 18784.1661 
4.7700 	 245.0115 	 42.4630 	 18661.9672 
4.7900 	 244.4844 	 42.2253 	 18516.2207 
4.8100 	 243.5935 	 41.9266 	 18344.3152 
4.8300 	 243.3614 	 41.7430 	 18223.2827 
4.8500 	 242.7682 	 41.4988 	 18076.3159 
4.8700 	 242.3625 	 41.2883 	 17944.4982 
4.8900 	 241.6851 	 41.0331 	 17793.7609 
4.9100 	 241.1747 	 40.8079 	 17656.5545 
4.9300 	 240.4306 	 40.5448 	 17503.4887 
4.9500 	 240.0701 	 40.3479 	 17379.5306 
4.9700 	 239.3331 	 40.0893 	 17229.4811 
4.9900 	 238.8992 	 39.8830 	 17102.4295 
5.0100 	 238.2675 	 39.6452 	 16962.3536 
5.0300 	 237.9164 	 39.4555 	 16843.3353 
5.0500 	 237.1636 	 39.2006 	 16697.0057 
5.0700 	 236.7161 	 38.9977 	 16573.3237 
5.0900 	 236.1672 	 38.7795 	 16443.5953 
5.1100 	 235.4887 	 38.5415 	 16305.9891 
5.1300 	 234.8294 	 38.3082 	 16170.8883 
5.1500 	 234.3793 	 38.1105 	 16051.2629 
5.1700 	 233.7677 	 37.8878 	 15921.6233 
5.1900 	 233.3063 	 37.6908 	 15803.2601 
5.2100 	 232.6423 	 37.4625 	 15672.2136 
5.2300 	 231.9824 	 37.2363 	 15542.5632 
5.2500 	 231.4250 	 37.0280 	 15420.8456 
5.2700 	 230.9881 	 36.8402 	 15308.1328 
5.2900 	 230.1788 	 36.5944 	 15171.7916 
5.3100 	 229.5847 	 36.3843 	 15050.7343 
5.3300 	 229.2469 	 36.2159 	 14947.4007 
5.3500 	 228.4042 	 35.9692 	 14812.1541 
5.3700 	 227.7506 	 35.7536 	 14690.2736 
5.3900 	 227.3542 	 35.5797 	 14585.9182 
5.4100 	 226.6517 	 35.3591 	 14462.8766 
5.4300 	 226.0498 	 35.1555 	 14347.2577 
5.4500 	 225.5527 	 34.9694 	 14239.2159 
5.4700 	 225.0994 	 34.7912 	 14134.8110 
5.4900 	 224.4289 	 34.5807 	 14017.6915 
5.5100 	 223.6709 	 34.3580 	 13896.1123 
5.5300 	 222.9339 	 34.1400 	 13776.8658 
5.5500 	 222.3946 	 33.9534 	 13670.7756 
5.5700 	 221.6955 	 33.7436 	 13555.7929 
5.5900 	 221.0520 	 33.5435 	 13445.1473 
5.6100 	 220.4470 	 33.3505 	 13337.7597 
5.6300 	 219.9358 	 33.1728 	 13236.8993 
5.6500 	 219.3492 	 32.9848 	 13132.3468 
5.6700 	 218.6726 	 32.7845 	 13023.2885 
5.6900 	 218.3882 	 32.6440 	 12938.3783 
5.7100 	 217.2811 	 32.3817 	 12805.6348 
5.7300 	 216.6703 	 32.1947 	 12703.1494 
5.7500 	 216.1347 	 32.0200 	 12605.8861 
5.7700 	 215.4727 	 31.8276 	 12502.0785 
5.7900 	 215.1930 	 31.6926 	 12421.1933 
5.8100 	 214.1973 	 31.4533 	 12299.8183 
5.8300 	 213.6285 	 31.2780 	 12203.8687 
5.8500 	 213.0678 	 31.1048 	 12109.1543 
5.8700 	 212.2314 	 30.8925 	 11999.6230 
5.8900 	 211.7473 	 30.7326 	 11910.8255 
5.9100 	 211.3452 	 30.5854 	 11827.3184 
5.9300 	 210.2663 	 30.3415 	 11706.7938 
5.9500 	 209.7903 	 30.1857 	 11620.6931 
5.9700 	 209.4423 	 30.0491 	 11542.3282 
5.9900 	 208.3397 	 29.8054 	 11423.1963 
6.0100 	 207.8061 	 29.6442 	 11336.1190 
6.0300 	 207.2723 	 29.4840 	 11249.7301 
6.0500 	 206.5293 	 29.2949 	 11152.7314 
6.0700 	 205.8762 	 29.1197 	 11061.3610 
6.0900 	 205.2196 	 28.9449 	 10970.5415 
6.1100 	 204.4779 	 28.7592 	 10875.9282 
6.1300 	 203.9102 	 28.5989 	 10791.3026 
6.1500 	 203.2770 	 28.4303 	 10703.9005 
6.1700 	 202.6617 	 28.2652 	 10618.1376 
6.1900 	 202.0815 	 28.1059 	 10534.8962 
6.2100 	 201.1878 	 27.9040 	 10436.0512 
6.2300 	 200.5428 	 27.7376 	 10350.8600 
6.2500 	 199.8789 	 27.5695 	 10265.3852 
6.2700 	 199.4398 	 27.4333 	 10192.0784 
6.2900 	 198.5197 	 27.2318 	 10094.8855 
6.3100 	 198.0792 	 27.0970 	 10022.7596 
6.3300 	 197.3609 	 26.9251 	 9937.2017 
6.3500 	 196.5318 	 26.7390 	 9846.7824 
6.3700 	 195.9821 	 26.5919 	 9771.0316 
6.3900 	 195.3883 	 26.4395 	 9693.6829 
6.4100 	 194.8492 	 26.2954 	 9619.6502 
6.4300 	 194.1166 	 26.1261 	 9536.6851 
6.4500 	 193.3425 	 25.9520 	 9452.3565 
6.4700 	 192.5398 	 25.7751 	 9367.3141 
6.4900 	 192.0225 	 25.6372 	 9296.7745 
6.5100 	 191.3257 	 25.4761 	 9218.1369 
6.5300 	 190.7884 	 25.3371 	 9147.7678 
6.5500 	 189.8767 	 25.1492 	 9060.0761 
6.5700 	 189.3545 	 25.0138 	 8991.5994 
6.5900 	 188.6382 	 24.8535 	 8914.4734 
6.6100 	 188.0114 	 24.7058 	 8842.1678 
6.6300 	 187.1976 	 24.5344 	 8761.6789 
6.6500 	 186.5780 	 24.3893 	 8690.8753 
6.6700 	 185.9156 	 24.2393 	 8618.6432 
6.6900 	 185.3182 	 24.0986 	 8549.9735 
6.7100 	 184.5678 	 23.9388 	 8474.8109 
6.7300 	 184.0299 	 23.8072 	 8409.9521 
6.7500 	 183.3471 	 23.6577 	 8339.0025 
6.7700 	 182.6584 	 23.5082 	 8268.3378 
6.7900 	 181.8471 	 23.3437 	 8192.7047 
6.8100 	 181.1053 	 23.1889 	 8120.7845 
6.8300 	 180.5482 	 23.0585 	 8057.6718 
6.8500 	 179.8060 	 22.9052 	 7986.8198 
6.8700 	 179.2179 	 22.7723 	 7923.3371 
6.8900 	 178.6112 	 22.6377 	 7859.5205 
6.9100 	 177.7519 	 22.4718 	 7785.1285 
6.9300 	 177.2453 	 22.3512 	 7726.7030 
6.9500 	 176.6134 	 22.2155 	 7663.2779 
6.9700 	 175.6857 	 22.0434 	 7587.5658 
6.9900 	 175.2184 	 21.9297 	 7532.2464 
7.0100 	 174.6647 	 21.8058 	 7473.6413 
7.0300 	 173.8408 	 21.6489 	 7403.9704 
7.0500 	 173.2170 	 21.5176 	 7343.3278 
7.0700 	 172.4232 	 21.3659 	 7275.9739 
7.0900 	 171.6579 	 21.2185 	 7210.3409 
7.1100 	 171.2949 	 21.1214 	 7162.0380 
7.1300 	 170.3963 	 20.9590 	 7091.7920 
7.1500 	 169.9485 	 20.8526 	 7040.7712 
7.1700 	 169.2599 	 20.7172 	 6980.1959 
7.1900 	 168.7496 	 20.6043 	 6927.4020 
7.2100 	 167.7832 	 20.4364 	 6856.3630 
7.2300 	 167.2810 	 20.3258 	 6804.7664 
7.2500 	 166.4431 	 20.1749 	 6739.9526 
7.2700 	 165.8773 	 20.0577 	 6686.6136 
7.2900 	 165.2669 	 19.9357 	 6631.8790 
7.3100 	 164.4441 	 19.7887 	 6569.0728 
7.3300 	 163.8527 	 19.6702 	 6515.9489 
7.3500 	 163.3868 	 19.5673 	 6468.1919 
7.3700 	 162.5603 	 19.4218 	 6406.5723 
7.3900 	 161.9086 	 19.2978 	 6352.2800 
7.4100 	 161.2846 	 19.1777 	 6299.4793 
7.4300 	 160.6413 	 19.0559 	 6246.3220 
7.4500 	 160.0550 	 18.9414 	 6195.7701 
7.4700 	 159.2865 	 18.8060 	 6138.5683 
7.4900 	 158.6609 	 18.6880 	 6087.2819 
7.5100 	 158.0913 	 18.5771 	 6038.5194 
7.5300 	 157.4817 	 18.4621 	 5988.5917 
7.5500 	 156.6747 	 18.3245 	 5931.5614 
7.5700 	 156.0113 	 18.2044 	 5880.3744 
7.5900 	 155.4970 	 18.1021 	 5835.1640 
7.6100 	 154.7634 	 17.9748 	 5782.0874 
7.6300 	 154.1296 	 17.8597 	 5733.1212 
7.6500 	 153.5880 	 17.7558 	 5687.9315 
7.6700 	 152.7689 	 17.6204 	 5632.8375 
7.6900 	 152.1416 	 17.5077 	 5585.2016 
7.7100 	 151.6400 	 17.4099 	 5542.5103 
7.7300 	 151.0642 	 17.3040 	 5497.4225 
7.7500 	 150.2365 	 17.1699 	 5443.5368 
7.7700 	 149.6929 	 17.0687 	 5400.3058 
7.7900 	 148.9941 	 16.9504 	 5351.8130 
7.8100 	 148.5441 	 16.8609 	 5312.5771 
7.8300 	 147.9640 	 16.7570 	 5268.9840 
7.8500 	 147.2811 	 16.6419 	 5222.0614 
7.8700 	 146.6268 	 16.5306 	 5176.4958 
7.8900 	 146.0257 	 16.4258 	 5133.1279 
7.9100 	 145.3026 	 16.3078 	 5085.8090 
7.9300 	 144.7138 	 16.2053 	 5043.5151 
7.9500 	 144.0230 	 16.0920 	 4997.9895 
7.9700 	 143.5653 	 16.0051 	 4960.8508 
7.9900 	 142.8220 	 15.8868 	 4914.1445 
8.0100 	 142.1965 	 15.7821 	 4871.8187 
8.0300 	 141.5910 	 15.6801 	 4830.4787 
8.0500 	 141.0357 	 15.5841 	 4791.1441 
8.0700 	 140.4022 	 15.4799 	 4749.4450 
8.0900 	 139.7927 	 15.3787 	 4708.8513 
8.1100 	 139.2226 	 15.2824 	 4669.8740 
8.1300 	 138.5531 	 15.1756 	 4627.8513 
8.1500 	 137.9899 	 15.0809 	 4589.6677 
8.1700 	 137.3215 	 14.9751 	 4548.2726 
8.1900 	 136.6199 	 14.8662 	 4506.0791 
8.2100 	 136.1333 	 14.7810 	 4471.2512 
8.2300 	 135.4606 	 14.6761 	 4430.5801 
8.2500 	 134.9733 	 14.5917 	 4396.2418 
8.2700 	 134.3278 	 14.4906 	 4357.0081 
8.2900 	 133.8197 	 14.4047 	 4322.4953 
8.3100 	 133.2518 	 14.3128 	 4286.2980 
8.3300 	 132.3879 	 14.1895 	 4240.8746 
8.3500 	 131.9469 	 14.1120 	 4209.2738 
8.3700 	 131.2889 	 14.0116 	 4170.9968 
8.3900 	 130.7615 	 13.9256 	 4137.1242 
8.4100 	 130.1967 	 13.8360 	 4102.3080 
