z	mrd_sf	mrd_df	mr_df
9.9700 	 89.8057 	 8.1865 	 2091.5131 
9.9900 	 89.3802 	 8.1329 	 2074.0286 
10.0100 	 88.8230 	 8.0675 	 2053.6072 
10.0300 	 88.3586 	 8.0107 	 2035.4567 
10.0500 	 88.0259 	 7.9661 	 2020.4452 
10.0700 	 87.5131 	 7.9054 	 2001.4088 
10.0900 	 87.0971 	 7.8537 	 1984.6971 
10.1100 	 86.6189 	 7.7965 	 1966.6793 
10.1300 	 86.1748 	 7.7426 	 1949.5478 
10.1500 	 85.7873 	 7.6939 	 1933.8001 
10.1700 	 85.2959 	 7.6362 	 1915.8182 
10.1900 	 84.8579 	 7.5834 	 1899.1441 
10.2100 	 84.5220 	 7.5399 	 1884.8512 
10.2300 	 84.0778 	 7.4869 	 1868.2402 
10.2500 	 83.6059 	 7.4316 	 1851.1201 
10.2700 	 83.1535 	 7.3783 	 1834.5397 
10.2900 	 82.7577 	 7.3302 	 1819.3060 
10.3100 	 82.3729 	 7.2832 	 1804.4072 
10.3300 	 81.8797 	 7.2268 	 1787.2365 
10.3500 	 81.6093 	 7.1902 	 1775.0179 
10.3700 	 81.0958 	 7.1324 	 1757.6057 
10.3900 	 80.6423 	 7.0801 	 1741.5969 
10.4100 	 80.2366 	 7.0321 	 1726.7186 
10.4300 	 79.7254 	 6.9751 	 1709.6686 
10.4500 	 79.3925 	 6.9338 	 1696.5381 
10.4700 	 79.0035 	 6.8878 	 1682.2896 
10.4900 	 78.5270 	 6.8344 	 1666.2740 
10.5100 	 78.0872 	 6.7843 	 1651.1342 
10.5300 	 77.6998 	 6.7389 	 1637.1924 
10.5500 	 77.3235 	 6.6947 	 1623.5690 
10.5700 	 76.8692 	 6.6438 	 1608.3986 
10.5900 	 76.4233 	 6.5939 	 1593.4944 
10.6100 	 75.9924 	 6.5454 	 1578.9947 
10.6300 	 75.7061 	 6.5096 	 1567.5808 
10.6500 	 75.2185 	 6.4565 	 1552.0787 
10.6700 	 74.8609 	 6.4148 	 1539.3458 
10.6900 	 74.4543 	 6.3691 	 1525.6866 
10.7100 	 74.0714 	 6.3255 	 1512.5966 
10.7300 	 73.6954 	 6.2826 	 1499.7236 
10.7500 	 73.3346 	 6.2412 	 1487.2384 
10.7700 	 72.8906 	 6.1929 	 1473.1477 
10.7900 	 72.4839 	 6.1479 	 1459.8941 
10.8100 	 72.1195 	 6.1066 	 1447.5694 
10.8300 	 71.6329 	 6.0552 	 1432.8757 
10.8500 	 71.3133 	 6.0180 	 1421.6014 
10.8700 	 70.9121 	 5.9741 	 1408.7728 
10.8900 	 70.5112 	 5.9303 	 1396.0281 
10.9100 	 70.1322 	 5.8885 	 1383.7918 
10.9300 	 69.7406 	 5.8458 	 1371.3831 
10.9500 	 69.3691 	 5.8049 	 1359.4411 
10.9700 	 68.9713 	 5.7620 	 1347.0590 
10.9900 	 68.6438 	 5.7251 	 1336.1188 
11.0100 	 68.1768 	 5.6767 	 1322.5375 
11.0300 	 67.7804 	 5.6343 	 1310.4044 
11.0500 	 67.4330 	 5.5961 	 1299.2885 
11.0700 	 67.0422 	 5.5545 	 1287.4050 
11.0900 	 66.6816 	 5.5154 	 1276.1699 
11.1100 	 66.2738 	 5.4726 	 1264.1011 
11.1300 	 65.9027 	 5.4330 	 1252.8044 
11.1500 	 65.4319 	 5.3853 	 1239.6855 
11.1700 	 65.2079 	 5.3581 	 1231.3055 
11.1900 	 64.8027 	 5.3161 	 1219.5643 
11.2100 	 64.3762 	 5.2724 	 1207.4927 
11.2300 	 64.1241 	 5.2432 	 1198.7534 
11.2500 	 63.6437 	 5.1954 	 1185.8124 
11.2700 	 63.3395 	 5.1621 	 1176.2216 
11.2900 	 63.0297 	 5.1285 	 1166.5810 
11.3100 	 62.5917 	 5.0846 	 1154.6342 
11.3300 	 62.2364 	 5.0476 	 1144.2789 
11.3500 	 61.9125 	 5.0132 	 1134.5583 
11.3700 	 61.5334 	 4.9744 	 1123.8870 
11.3900 	 61.1948 	 4.9390 	 1114.0172 
11.4100 	 60.8323 	 4.9019 	 1103.7702 
11.4300 	 60.4206 	 4.8609 	 1092.6953 
11.4500 	 59.9921 	 4.8186 	 1081.3814 
11.4700 	 59.7061 	 4.7880 	 1072.6968 
11.4900 	 59.3614 	 4.7527 	 1063.0102 
11.5100 	 58.9287 	 4.7105 	 1051.8086 
11.5300 	 58.6351 	 4.6796 	 1043.1499 
11.5500 	 58.2734 	 4.6433 	 1033.3322 
11.5700 	 57.9820 	 4.6127 	 1024.8150 
11.5900 	 57.5838 	 4.5738 	 1014.4650 
11.6100 	 57.2886 	 4.5431 	 1005.9851 
11.6300 	 56.8988 	 4.5051 	 995.8974 
11.6500 	 56.5385 	 4.4694 	 986.3835 
11.6700 	 56.1867 	 4.4346 	 977.0719 
11.6900 	 55.8602 	 4.4019 	 968.2546 
11.7100 	 55.4812 	 4.3652 	 958.5800 
11.7300 	 55.2114 	 4.3371 	 950.8434 
11.7500 	 54.8331 	 4.3006 	 941.2880 
11.7700 	 54.4710 	 4.2655 	 932.0649 
11.7900 	 54.1759 	 4.2358 	 924.0391 
11.8100 	 53.8585 	 4.2044 	 915.6790 
11.8300 	 53.4491 	 4.1659 	 905.8087 
11.8500 	 53.1204 	 4.1339 	 897.3582 
11.8700 	 52.8027 	 4.1028 	 889.1422 
11.8900 	 52.4446 	 4.0686 	 880.2942 
11.9100 	 52.1010 	 4.0357 	 871.7397 
11.9300 	 51.8000 	 4.0062 	 863.9469 
11.9500 	 51.4440 	 3.9725 	 855.2813 
11.9700 	 51.1063 	 3.9403 	 846.9707 
11.9900 	 50.7478 	 3.9067 	 838.3629 
12.0100 	 50.4227 	 3.8757 	 830.3565 
12.0300 	 50.1334 	 3.8475 	 822.9811 
12.0500 	 49.7443 	 3.8118 	 814.0165 
12.0700 	 49.4631 	 3.7845 	 806.8629 
12.0900 	 49.1252 	 3.7529 	 798.8259 
12.1100 	 48.7783 	 3.7207 	 790.6915 
12.1300 	 48.4095 	 3.6869 	 782.2484 
12.1500 	 48.0502 	 3.6540 	 774.0063 
12.1700 	 47.7691 	 3.6271 	 767.0675 
12.1900 	 47.4733 	 3.5992 	 759.9323 
12.2100 	 47.1122 	 3.5664 	 751.7940 
12.2300 	 46.8342 	 3.5400 	 745.0266 
12.2500 	 46.6293 	 3.5192 	 739.4546 
12.2700 	 46.0983 	 3.4739 	 728.7572 
12.2900 	 45.8508 	 3.4500 	 722.5911 
12.3100 	 45.5180 	 3.4198 	 715.1192 
12.3300 	 45.1864 	 3.3898 	 707.7073 
12.3500 	 44.8667 	 3.3608 	 700.5236 
12.3700 	 44.6824 	 3.3420 	 695.4878 
12.3900 	 44.2035 	 3.3012 	 685.9093 
12.4100 	 43.9226 	 3.2754 	 679.4471 
12.4300 	 43.5927 	 3.2459 	 672.2660 
12.4500 	 43.3308 	 3.2216 	 666.1704 
12.4700 	 42.9578 	 3.1891 	 658.4054 
12.4900 	 42.6511 	 3.1617 	 651.6985 
12.5100 	 42.3962 	 3.1381 	 645.8165 
12.5300 	 42.0043 	 3.1045 	 637.8875 
12.5500 	 41.6696 	 3.0752 	 630.8697 
12.5700 	 41.2960 	 3.0432 	 623.3036 
12.5900 	 41.1017 	 3.0244 	 618.4774 
12.6100 	 40.7980 	 2.9977 	 612.0379 
12.6300 	 40.4916 	 2.9708 	 605.5925 
12.6500 	 40.2078 	 2.9456 	 599.5204 
12.6700 	 39.7719 	 2.9094 	 591.2206 
12.6900 	 39.5989 	 2.8925 	 586.8639 
12.7100 	 39.1769 	 2.8575 	 578.8521 
12.7300 	 38.8641 	 2.8306 	 572.4928 
12.7500 	 38.5792 	 2.8058 	 566.5792 
12.7700 	 38.2528 	 2.7780 	 560.0911 
12.7900 	 37.9296 	 2.7505 	 553.6853 
12.8100 	 37.6608 	 2.7271 	 548.1074 
12.8300 	 37.3385 	 2.6998 	 541.7829 
12.8500 	 37.0417 	 2.6745 	 535.8628 
12.8700 	 36.6923 	 2.6454 	 529.2170 
12.8900 	 36.3311 	 2.6156 	 522.4383 
12.9100 	 36.1345 	 2.5977 	 518.0567 
12.9300 	 35.8561 	 2.5740 	 512.5303 
12.9500 	 35.4366 	 2.5403 	 505.0221 
12.9700 	 35.1093 	 2.5132 	 498.8669 
12.9900 	 34.8489 	 2.4910 	 493.6932 
13.0100 	 34.5607 	 2.4669 	 488.1551 
13.0300 	 34.2243 	 2.4394 	 481.9687 
13.0500 	 33.9381 	 2.4155 	 476.5202 
13.0700 	 33.6391 	 2.3908 	 470.9233 
13.0900 	 33.3023 	 2.3635 	 464.8286 
13.1100 	 33.0462 	 2.3420 	 459.8921 
13.1300 	 32.6827 	 2.3130 	 453.4911 
13.1500 	 32.4357 	 2.2923 	 448.7363 
13.1700 	 32.1986 	 2.2723 	 444.1450 
13.1900 	 31.7988 	 2.2409 	 437.3403 
13.2100 	 31.4868 	 2.2158 	 431.7780 
13.2300 	 31.0898 	 2.1848 	 425.0827 
13.2500 	 30.9038 	 2.1687 	 421.3023 
13.2700 	 30.6022 	 2.1445 	 415.9698 
13.2900 	 30.2701 	 2.1183 	 410.2527 
13.3100 	 29.8673 	 2.0872 	 403.6125 
13.3300 	 29.5770 	 2.0640 	 398.5232 
13.3500 	 29.3415 	 2.0447 	 394.1993 
13.3700 	 29.0109 	 2.0189 	 388.6241 
13.3900 	 28.6916 	 1.9939 	 383.2299 
13.4100 	 28.3714 	 1.9689 	 377.8532 
13.4300 	 28.0724 	 1.9454 	 372.7876 
13.4500 	 27.7618 	 1.9212 	 367.5958 
13.4700 	 27.5025 	 1.9007 	 363.1099 
13.4900 	 27.1488 	 1.8736 	 357.4052 
13.5100 	 26.8481 	 1.8503 	 352.4270 
13.5300 	 26.5391 	 1.8265 	 347.3662 
13.5500 	 26.1820 	 1.7994 	 341.7061 
13.5700 	 25.9375 	 1.7802 	 337.5421 
13.5900 	 25.6139 	 1.7556 	 332.3740 
13.6100 	 25.2904 	 1.7310 	 327.2354 
13.6300 	 25.0078 	 1.7094 	 322.6517 
13.6500 	 24.6937 	 1.6856 	 317.6883 
13.6700 	 24.3601 	 1.6605 	 312.4998 
13.6900 	 23.9488 	 1.6303 	 306.3476 
13.7100 	 23.6571 	 1.6082 	 301.7532 
13.7300 	 23.3776 	 1.5871 	 297.3393 
13.7500 	 23.0808 	 1.5648 	 292.7289 
13.7700 	 22.6861 	 1.5360 	 286.9052 
13.7900 	 22.4458 	 1.5176 	 283.0615 
13.8100 	 22.0821 	 1.4910 	 277.6857 
13.8300 	 21.6566 	 1.4603 	 271.5633 
13.8500 	 21.4060 	 1.4415 	 267.6618 
13.8700 	 21.0429 	 1.4151 	 262.3786 
13.8900 	 20.6361 	 1.3859 	 256.5804 
13.9100 	 20.3641 	 1.3658 	 252.4849 
13.9300 	 20.0275 	 1.3414 	 247.6136 
13.9500 	 19.6633 	 1.3153 	 242.4274 
13.9700 	 19.2869 	 1.2884 	 237.1190 
13.9900 	 18.9498 	 1.2642 	 232.3206 
14.0100 	 18.6001 	 1.2392 	 227.3951 
14.0300 	 18.2064 	 1.2113 	 221.9581 
14.0500 	 17.8148 	 1.1837 	 216.5775 
14.0700 	 17.4664 	 1.1590 	 211.7491 
14.0900 	 17.0752 	 1.1316 	 206.4290 
14.1100 	 16.7015 	 1.1053 	 201.3486 
14.1300 	 16.3498 	 1.0806 	 196.5608 
14.1500 	 15.9318 	 1.0516 	 191.0033 
14.1700 	 15.5748 	 1.0267 	 186.2050 
14.1900 	 15.1511 	 0.9974 	 180.6368 
14.2100 	 14.7349 	 0.9688 	 175.1882 
14.2300 	 14.3378 	 0.9414 	 169.9954 
14.2500 	 13.9218 	 0.9129 	 164.6067 
14.2700 	 13.5066 	 0.8845 	 159.2575 
14.2900 	 13.1295 	 0.8587 	 154.3841 
14.3100 	 12.6429 	 0.8258 	 148.2526 
14.3300 	 12.1617 	 0.7933 	 142.2179 
14.3500 	 11.6778 	 0.7608 	 136.1839 
14.3700 	 11.1471 	 0.7253 	 129.6386 
14.3900 	 10.5663 	 0.6866 	 122.5470 
14.4100 	 9.9919 	 0.6484 	 115.5673 
14.4300 	 9.3897 	 0.6085 	 108.3058 
14.4500 	 8.7528 	 0.5665 	 100.6838 
14.4700 	 8.1028 	 0.5238 	 92.9519 
14.4900 	 7.4081 	 0.4782 	 84.7504 
14.5100 	 6.7430 	 0.4348 	 76.9323 
14.5300 	 6.0148 	 0.3873 	 68.4369 
14.5500 	 5.2132 	 0.3353 	 59.1555 
14.5700 	 4.2922 	 0.2757 	 48.5722 
14.5900 	 3.2325 	 0.2073 	 36.4809 
14.6100 	 1.8395 	 0.1178 	 20.7034 
14.6300 	 0.4873 	 0.0312 	 5.4704 
14.6500 	 0.1895 	 0.0121 	 2.1218 
14.6700 	 0.1190 	 0.0076 	 1.3282 
14.6900 	 0.0741 	 0.0047 	 0.8245 
14.7100 	 0.0428 	 0.0027 	 0.4750 
14.7300 	 0.0125 	 0.0008 	 0.1383 
14.7500 	 0.0042 	 0.0003 	 0.0460 
14.7700 	 0.0003 	 0.0000 	 0.0036 
14.7900 	 0.0000 	 0.0000 	 0.0000 
14.8100 	 0.0000 	 0.0000 	 0.0000 
14.8300 	 0.0000 	 0.0000 	 0.0000 
14.8500 	 0.0000 	 0.0000 	 0.0000 
14.8700 	 0.0000 	 0.0000 	 0.0000 
14.8900 	 0.0000 	 0.0000 	 0.0000 
14.9100 	 0.0000 	 0.0000 	 0.0000 
14.9300 	 0.0000 	 0.0000 	 0.0000 
14.9500 	 0.0000 	 0.0000 	 0.0000 
14.9700 	 0.0000 	 0.0000 	 0.0000 
14.9900 	 0.0000 	 0.0000 	 0.0000 
