name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,SNR,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,p_astro_BBH,p_astro_BNS,p_astro_NSBH,pipeline
GW170104,30.8,-5.6,7.3,20.0,-4.6,4.9,13.8,-0.3,0.2,990.0,-430.0,440.0,-0.04,-0.21,0.17,,,,21.4,-1.8,2.2,0.2,-0.08,0.08,1.0e-07,1.0,1.0,0.,0.,
GW170608,11.0,-1.7,5.5,7.6,-2.2,1.4,15.4,0.,0.,320.0,-110.0,120.0,0.03,-0.07,0.19,,,,7.9,-0.2,0.2,0.07,-0.02,0.02,1.0e-07,1.0,1.0,0.,0.,
GW170729,50.2,-10.2,16.2,34.0,-10.1,9.1,10.8,0.,0.,2840.0,-1360.0,1400.0,0.37,-0.25,0.21,,,,35.4,-4.8,6.5,0.49,-0.21,0.19,0.02,0.98,0.98,0.,0.,
GW170809,35.0,-5.9,8.3,23.8,-5.2,5.1,12.8,-0.3,0.2,1030.0,-390.0,320.0,0.08,-0.17,0.17,,,,24.9,-1.7,2.1,0.2,-0.07,0.05,1.0e-07,1.0,1.0,0.,0.,
GW170814,30.6,-3.0,5.6,25.2,-4.0,2.8,17.7,-0.3,0.2,600.0,-220.0,150.0,0.07,-0.12,0.12,,,,24.1,-1.1,1.4,0.12,-0.04,0.03,1.0e-07,1.0,1.0,0.,0.,
GW170817,1.46,-0.1,0.12,1.27,-0.09,0.09,33.0,0.,0.,40.0,-15.0,7.0,0.0,-0.01,0.02,,,,1.186,-0.001,0.001,0.01,0.0,0.0,1.0e-07,1.0,0.,1.,0.,
GW170818,35.4,-4.7,7.5,26.7,-5.2,4.3,12.0,-0.4,0.3,1060.0,-380.0,420.0,-0.09,-0.21,0.18,,,,26.5,-1.7,2.1,0.21,-0.07,0.07,4.2000000000000004e-05,1.0,1.0,0.,0.,
GW170823,39.5,-6.7,11.2,29.0,-7.8,6.7,12.2,-0.3,0.2,1940.0,-900.0,970.0,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,0.35,-0.15,0.15,1.0e-07,1.0,1.0,0.,0.,
